region,type,amount,ind,date
170,8,2467.3,1,2017-08-01
375,8,2457.1,5,2017-11-01
21,4,2455.4,1,2018-01-01
170,6,2444.5,5,2017-11-01
375,1,2440.7,5,2018-03-01
375,1,2430.3,5,2018-02-01
170,6,2428.6,5,2018-03-01
170,6,2428,5,2017-10-01
15,0,2426.3,5,2018-02-01
21,0,2417.9,5,2017-10-01
170,4,2414.3,1,2017-08-01
375,1,2412.5,5,2017-08-01
375,7,2410.5,2,2017-11-01
21,0,2408.8,5,2017-08-01
375,7,2407.2,2,2017-12-01
375,7,2406.1,2,2018-01-01
375,7,2386.9,2,2017-10-01
22,4,2381,1,2018-03-01
170,0,2379.7,6,2018-04-01
375,7,2376.2,2,2017-08-01
22,0,2370.2,5,2018-01-01
22,0,2370.1,5,2017-12-01
170,0,2368,6,2018-05-01
375,7,2349.5,2,2017-09-01
22,0,2341.1,5,2017-11-01
170,0,2340.4,6,2018-03-01
22,0,2338,5,2017-08-01
375,8,2337,5,2018-04-01
375,8,2332.6,5,2018-06-01
21,4,2331,1,2017-11-01
22,4,2328.4,1,2018-02-01
22,4,2325,1,2018-07-01
22,0,2324.7,5,2017-09-01
22,4,2323.8,1,2018-06-01
375,8,2323.6,5,2018-02-01
22,4,2315.4,1,2018-04-01
170,6,2312.5,5,2017-08-01
375,8,2310.1,5,2018-03-01
375,8,2309.1,5,2018-05-01
170,0,2308.5,6,2018-07-01
375,8,2307.4,5,2017-09-01
170,6,2304.6,5,2017-09-01
22,0,2304,5,2017-10-01
375,8,2302.2,5,2017-08-01
375,8,2296.6,5,2017-12-01
22,4,2295.9,1,2018-05-01
170,0,2272.4,6,2017-10-01
375,8,2271.8,5,2018-07-01
170,0,2263.8,6,2018-06-01
170,0,2262.8,6,2018-02-01
170,0,2261.5,6,2017-12-01
170,0,2243.3,6,2017-11-01
21,4,2232,1,2017-08-01
22,4,2230.2,1,2018-01-01
170,0,2228.7,6,2017-08-01
170,0,2214.4,6,2017-09-01
22,4,2198.8,1,2017-11-01
170,0,2185.8,6,2018-01-01
21,4,2185.7,1,2017-10-01
22,4,2164.6,1,2017-09-01
22,4,2163.6,1,2017-12-01
